code,level,message
31000,ERROR,""
31001,ERROR,"Invalid MVIEW id"
31002,ERROR,"May not modify an enabled MVIEW"
31003,ERROR,"No such table: %tab.%db"
31004,ERROR,"No ChangeLog on table: %tab.%db"
31005,ERROR,"Materialized view already exists: %tab.%db"
31006,ERROR,"Invalid refresh type"
31007,ERROR,"No such schema: %db"
31008,ERROR,"Table exists: %tab.%db"
31009,ERROR,"Could not create materialized view: %mview_name"
31010,WARNING,"No such MVIEW: %db.%mview_id"
31011,ERROR,"TABLE EXISTS. POSSIBLE METADATA SYNC ISSUE. DANGER: set @fv_force=true to actually DROP the objects if desired"
31012,WARNING,"MVIEW is already disabled: %mview_id"
